[strict_channel_split] sample=1/5 attempt=1/5 temperature=0.01918280395373651
Paragraph 1: technical=95, citation=5
Paragraph 2: technical=95, citation=5
[strict_channel_split] sample=2/5 attempt=1/5 temperature=0.0007503226566800081
Paragraph 1: technical=95, citation=5
Paragraph 2: technical=95, citation=5
[strict_channel_split] sample=3/5 attempt=1/5 temperature=0.008250879551073578
Paragraph 1: technical=95, citation=5
Paragraph 2: technical=95, citation=5
[strict_channel_split] sample=4/5 attempt=1/5 temperature=0.006696322144464683
Paragraph 1: technical=95, citation=5
Paragraph 2: technical=95, citation=5
[strict_channel_split] sample=5/5 attempt=1/5 temperature=0.02209413642492037
Paragraph 1: technical=95, citation=5
Paragraph 2: technical=95, citation=5
