nohup: ignoring input

==================================================
FINAL CITATION SCORES (AGGREGATED ACROSS SECTIONS):
==================================================
[25]: citation=0.0294
[2]: citation=0.0162
[39]: citation=0.0089
[42]: citation=0.0076
[21]: citation=0.0063
[22]: citation=0.0051
[6]: citation=0.0047
[23]: citation=0.0039
[19]: citation=0.0039
[7]: citation=0.0031

==================================================
SECTION HIERARCHY WITH SCORES:
==================================================
Introduction: total=0.0958, citation=0.0210
Data Model & Problem Definition: total=0.1750, citation=0.0026
  Data model: total=0.0650, citation=0.0026
  Problem Definitions: total=0.0434, citation=0.0000
  Definition of Anytime Algorithms for AFDs: total=0.0666, citation=0.0000
Solution Framework: Bound Computation: total=0.2131, citation=0.0353
  Lattice Based Solution: total=0.1051, citation=0.0294
  Compute Bounds for Anytime Answer: total=0.0700, citation=0.0027
  Bound Computation Algorithms: total=0.0379, citation=0.0032
Anytime AFD Algorithms: total=0.2016, citation=0.0216
  Exact Algorithms: total=0.1492, citation=0.0019
  Approximate Algorithms: total=0.0524, citation=0.0198
Experiments: total=0.2124, citation=0.0071
  Experimental setup: total=0.0483, citation=0.0071
  Quality Analyses- Approximate Algorithms: total=0.0157, citation=0.0000
  Quality Analyses - Exact Algorithms: total=0.0439, citation=0.0000
  Scalability Analyses: total=0.0430, citation=0.0000
  Summary: total=0.0614, citation=0.0000
Related Work: total=0.1021, citation=0.0531

==================================================
TOP PARAGRAPH SCORES (TECHNICAL / CITATION):
==================================================
Solution Framework: Bound Computation > Lattice Based Solution::p1: technical=0.0757, citation=0.0294
Related Work::p1: technical=0.0278, citation=0.0417
Anytime AFD Algorithms > Exact Algorithms::p2: technical=0.0611, citation=0.0019
Anytime AFD Algorithms > Exact Algorithms::p1: technical=0.0548, citation=0.0000
Data Model & Problem Definition > Definition of Anytime Algorithms for AFDs::p1: technical=0.0473, citation=0.0000
Data Model & Problem Definition > Data model::p1: technical=0.0436, citation=0.0000
Experiments > Scalability Analyses::p1: technical=0.0430, citation=0.0000
Experiments > Summary::p1: technical=0.0356, citation=0.0000
Related Work::p2: technical=0.0212, citation=0.0114
Experiments > Quality Analyses - Exact Algorithms::p2: technical=0.0307, citation=0.0000
