[strict_channel_split] sample=1/5 attempt=1/5 temperature=0.002403343957217606
Paragraph 1: technical=100, citation=0
Paragraph 2: technical=100, citation=0
Paragraph 3: technical=95, citation=5
Paragraph 4: technical=95, citation=5
Paragraph 5: technical=95, citation=5
[strict_channel_split] sample=2/5 attempt=1/5 temperature=0.005574748829421696
Paragraph 1: technical=100, citation=0
Paragraph 2: technical=100, citation=0
Paragraph 3: technical=95, citation=5
Paragraph 4: technical=95, citation=5
Paragraph 5: technical=95, citation=5
[strict_channel_split] sample=3/5 attempt=1/5 temperature=0.01785105319350083
Paragraph 1: technical=100, citation=0
Paragraph 2: technical=100, citation=0
Paragraph 3: technical=95, citation=5
Paragraph 4: technical=95, citation=5
Paragraph 5: technical=95, citation=5
[strict_channel_split] sample=4/5 attempt=1/5 temperature=0.020256376608122705
Paragraph 1: technical=100, citation=0
Paragraph 2: technical=100, citation=0
Paragraph 3: technical=95, citation=5
Paragraph 4: technical=95, citation=5
Paragraph 5: technical=95, citation=5
[strict_channel_split] sample=5/5 attempt=1/5 temperature=0.0070561168500279355
Paragraph 1: technical=100, citation=0
Paragraph 2: technical=100, citation=0
Paragraph 3: technical=95, citation=5
Paragraph 4: technical=95, citation=5
Paragraph 5: technical=95, citation=5
