[strict_channel_split] sample=1/5 attempt=1/5 temperature=0.0035965984184137254
Paragraph 1: technical=100, citation=0
Paragraph 2: technical=95, citation=5
Paragraph 3: technical=95, citation=5
Paragraph 4: technical=95, citation=5
Paragraph 5: technical=95, citation=5
[strict_channel_split] sample=2/5 attempt=1/5 temperature=0.026708619423883126
Paragraph 1: technical=100, citation=0
Paragraph 2: technical=95, citation=5
Paragraph 3: technical=95, citation=5
Paragraph 4: technical=95, citation=5
Paragraph 5: technical=95, citation=5
[strict_channel_split] sample=3/5 attempt=1/5 temperature=0.007386460433658745
Paragraph 1: technical=100, citation=0
Paragraph 2: technical=95, citation=5
Paragraph 3: technical=95, citation=5
Paragraph 4: technical=95, citation=5
Paragraph 5: technical=95, citation=5
[strict_channel_split] sample=4/5 attempt=1/5 temperature=0.017835574606003237
Paragraph 1: technical=100, citation=0
Paragraph 2: technical=95, citation=5
Paragraph 3: technical=95, citation=5
Paragraph 4: technical=95, citation=5
Paragraph 5: technical=95, citation=5
[strict_channel_split] sample=5/5 attempt=1/5 temperature=0.018581445309963092
Paragraph 1: technical=100, citation=0
Paragraph 2: technical=95, citation=5
Paragraph 3: technical=95, citation=5
Paragraph 4: technical=95, citation=5
Paragraph 5: technical=95, citation=5
