[paragraph_channel_split] sample=1/5 attempt=1/5 temperature=0.003197618896906168
Paragraph 1: technical=75, citation=25
Paragraph 2: technical=100, citation=0
[paragraph_channel_split] sample=2/5 attempt=1/5 temperature=0.012754385818282024
Paragraph 1: technical=75, citation=25
Paragraph 2: technical=100, citation=0
[paragraph_channel_split] sample=3/5 attempt=1/5 temperature=0.00527660045119595
Paragraph 1: technical=75, citation=25
Paragraph 2: technical=100, citation=0
[paragraph_channel_split] sample=4/5 attempt=1/5 temperature=0.028738981268386192
Paragraph 1: technical=75, citation=25
Paragraph 2: technical=100, citation=0
[paragraph_channel_split] sample=5/5 attempt=1/5 temperature=0.015538732513312224
Paragraph 1: technical=75, citation=25
Paragraph 2: technical=100, citation=0
