[strict_channel_split] sample=1/5 attempt=1/5 temperature=0.027145154350205307
Paragraph 1: technical=100, citation=0
Paragraph 2: technical=100, citation=0
Paragraph 3: technical=85, citation=15
Paragraph 4: technical=100, citation=0
Paragraph 5: technical=85, citation=15
Paragraph 6: technical=100, citation=0
[strict_channel_split] sample=2/5 attempt=1/5 temperature=0.017522382426126755
Paragraph 1: technical=100, citation=0
Paragraph 2: technical=100, citation=0
Paragraph 3: technical=85, citation=15
Paragraph 4: technical=100, citation=0
Paragraph 5: technical=85, citation=15
Paragraph 6: technical=100, citation=0
[strict_channel_split] sample=3/5 attempt=1/5 temperature=0.020865689594939042
Paragraph 1: technical=100, citation=0
Paragraph 2: technical=100, citation=0
Paragraph 3: technical=85, citation=15
Paragraph 4: technical=100, citation=0
Paragraph 5: technical=85, citation=15
Paragraph 6: technical=100, citation=0
[strict_channel_split] sample=4/5 attempt=1/5 temperature=0.025701960969118025
Paragraph 1: technical=100, citation=0
Paragraph 2: technical=100, citation=0
Paragraph 3: technical=85, citation=15
Paragraph 4: technical=100, citation=0
Paragraph 5: technical=85, citation=15
Paragraph 6: technical=100, citation=0
[strict_channel_split] sample=5/5 attempt=1/5 temperature=0.022967837283542084
Paragraph 1: technical=100, citation=0
Paragraph 2: technical=100, citation=0
Paragraph 3: technical=85, citation=15
Paragraph 4: technical=100, citation=0
Paragraph 5: technical=85, citation=15
Paragraph 6: technical=100, citation=0
