[strict_channel_split] sample=1/5 attempt=1/5 temperature=0.011411430867831349
Paragraph 1: technical=100, citation=0
Paragraph 2: technical=90, citation=10
Paragraph 3: technical=100, citation=0
Paragraph 4: technical=100, citation=0
[strict_channel_split] sample=2/5 attempt=1/5 temperature=0.00017688250751979217
Paragraph 1: technical=100, citation=0
Paragraph 2: technical=90, citation=10
Paragraph 3: technical=100, citation=0
Paragraph 4: technical=100, citation=0
[strict_channel_split] sample=3/5 attempt=1/5 temperature=0.01055276408015474
Paragraph 1: technical=100, citation=0
Paragraph 2: technical=90, citation=10
Paragraph 3: technical=100, citation=0
Paragraph 4: technical=100, citation=0
[strict_channel_split] sample=4/5 attempt=1/5 temperature=0.022604253751781576
Paragraph 1: technical=100, citation=0
Paragraph 2: technical=90, citation=10
Paragraph 3: technical=100, citation=0
Paragraph 4: technical=100, citation=0
[strict_channel_split] sample=5/5 attempt=1/5 temperature=0.025603438517073137
Paragraph 1: technical=100, citation=0
Paragraph 2: technical=90, citation=10
Paragraph 3: technical=100, citation=0
Paragraph 4: technical=100, citation=0
