[paragraph_channel_split] sample=1/5 attempt=1/5 temperature=0.01243323032993158
Paragraph 1: technical=5, citation=95
Paragraph 2: technical=85, citation=15
Paragraph 3: technical=90, citation=10
Paragraph 4: technical=80, citation=20
[paragraph_channel_split] sample=2/5 attempt=1/5 temperature=0.01889296142213141
Paragraph 1: technical=5, citation=95
Paragraph 2: technical=85, citation=15
Paragraph 3: technical=90, citation=10
Paragraph 4: technical=80, citation=20
[paragraph_channel_split] sample=3/5 attempt=1/5 temperature=0.005833057102191279
Paragraph 1: technical=5, citation=95
Paragraph 2: technical=85, citation=15
Paragraph 3: technical=90, citation=10
Paragraph 4: technical=80, citation=20
[paragraph_channel_split] sample=4/5 attempt=1/5 temperature=0.020890627514715147
Paragraph 1: technical=5, citation=95
Paragraph 2: technical=85, citation=15
Paragraph 3: technical=90, citation=10
Paragraph 4: technical=80, citation=20
[paragraph_channel_split] sample=5/5 attempt=1/5 temperature=0.014831315070313107
Paragraph 1: technical=5, citation=95
Paragraph 2: technical=85, citation=15
Paragraph 3: technical=90, citation=10
Paragraph 4: technical=80, citation=20
