[strict_channel_split] sample=1/5 attempt=1/5 temperature=0.028602910154103187
Paragraph 1: technical=100, citation=0
Paragraph 2: technical=85, citation=15
Paragraph 3: technical=95, citation=5
[strict_channel_split] sample=2/5 attempt=1/5 temperature=0.012570638478894655
Paragraph 1: technical=100, citation=0
Paragraph 2: technical=85, citation=15
Paragraph 3: technical=95, citation=5
[strict_channel_split] sample=3/5 attempt=1/5 temperature=0.02242547006934152
Paragraph 1: technical=100, citation=0
Paragraph 2: technical=85, citation=15
Paragraph 3: technical=95, citation=5
[strict_channel_split] sample=4/5 attempt=1/5 temperature=0.01638396929201517
Paragraph 1: technical=100, citation=0
Paragraph 2: technical=85, citation=15
Paragraph 3: technical=95, citation=5
[strict_channel_split] sample=5/5 attempt=1/5 temperature=0.01809757766823724
Paragraph 1: technical=100, citation=0
Paragraph 2: technical=85, citation=15
Paragraph 3: technical=95, citation=5
