node,I_P
AttentionAllYouNeed,0.446808925311
N-Machine-Translation,0.341642401432
yolov10,0.051821024211
LSM-Memory,0.044961255614
Exploring-Limit-LLMs,0.044803203338
struc-attention-net,0.031250074199
llama3,0.023441080158
gemma2,0.009547493716
Gen-Sequences-RNN,0.004014895512
Deep-Residual-Learning,0.001200676633
output-embed-llm,0.000508969875
Smarter-Better-Faster-Longer,0.000000000000
YOLO-World-Real-Time,0.000000000000
d-fine-redefine,0.000000000000
kimiK2,0.000000000000
shift-reduce-const-pars,0.000000000000
simPo,0.000000000000
