target,source,weight
AttentionAllYouNeed,gemma2,0.04352752399465095
N-Machine-Translation,struc-attention-net,0.040041232202185625
AttentionAllYouNeed,Smarter-Better-Faster-Longer,0.02749322454805539
yolov10,d-fine-redefine,0.00809149832572678
LSM-Memory,AttentionAllYouNeed,0.006493418406515192
Exploring-Limit-LLMs,AttentionAllYouNeed,0.006028220345243666
N-Machine-Translation,AttentionAllYouNeed,0.005669888318604327
struc-attention-net,AttentionAllYouNeed,0.004438620828298512
AttentionAllYouNeed,llama3,0.0043837135001096915
llama3,Smarter-Better-Faster-Longer,0.0032991039598790897
shift-reduce-const-pars,AttentionAllYouNeed,0.0026250338594892763
AttentionAllYouNeed,YOLO-World-Real-Time,0.0021649211076923084
AttentionAllYouNeed,kimiK2,0.0014992737892583286
gemma2,simPo,0.0013112962710012293
Gen-Sequences-RNN,N-Machine-Translation,0.0005728660023322826
N-Machine-Translation,output-embed-llm,0.0005293855575000656
gemma2,kimiK2,0.00020240196154987434
Deep-Residual-Learning,YOLO-World-Real-Time,0.00010608982459001504
Deep-Residual-Learning,AttentionAllYouNeed,9.045125839477794e-05
output-embed-llm,AttentionAllYouNeed,7.851671735657806e-05
AttentionAllYouNeed,yolov10,3.235095144221872e-05
Gen-Sequences-RNN,AttentionAllYouNeed,6.279945282429153e-07
