paper_id,sigma_tech,sigma_P,step6_mass,pi_P,I_P,sigma_P_src,pi_P_src,I_P_src,seminal_score,reference_score,incoming_edge_weight,outgoing_edge_weight
AttentionAllYouNeed,0.6959386343807188,0.7510441825386235,1.0791816195215838,0.055105548157904666,0.43943676483983574,0.7579708837376596,0.06203224935694089,0.49368186750319293,0.07914131370639621,0.07910100789120889,0.07910100789120889,0.3100895859645253
N-Machine-Translation,0.8987638247391196,0.9408990434834318,1.0468813025007349,0.042135218744312114,0.3360054446380334,0.9358056732380904,0.03704184849897074,0.29479648299576083,0.04655726742470359,0.046240506078290014,0.046240506078290014,0.051751648020368544
yolov10,0.7898607453298011,0.7962519022281945,1.0080914983257268,0.006391156898393371,0.050965998976473526,0.796954121916326,0.007093376586524831,0.05645243299156896,0.00809149832572678,0.00809149832572678,0.00809149832572678,0.21013925467019826
LSM-Memory,0.7913051467797139,0.7968502791531206,1.0070075777921743,0.005545132373406758,0.04421941369308321,0.7962269688677786,0.004921822088064706,0.03917017914299399,0.006750367238083645,0.006493418406515192,0.006493418406515192,0.033260329469960395
Exploring-Limit-LLMs,0.8493738674938015,0.8548995070666211,1.006505544595013,0.0055256395728196465,0.044063969214006016,0.8539430829962512,0.004569215502449681,0.03636396980051636,0.006266760983960771,0.006028220345243666,0.006028220345243666,0.03718813249990559
struc-attention-net,0.8046035663390813,0.808457680192128,1.0047900780139254,0.0038541138530467935,0.030734461039279785,0.8079679116908831,0.003364345351801806,0.026775045454922868,0.00461425996999657,0.004438620828298512,0.004438620828298512,0.193116452458297
llama3,0.8763046291855822,0.8791956492577887,1.003299103959879,0.002891020072206532,0.023054312135269633,0.8788465981704315,0.002541968984849419,0.02023018685578651,0.0032991039598790897,0.0032991039598790897,0.0032991039598790897,0.11432254502571004
shift-reduce-const-pars,0.7303691635192092,0.7324382177712218,1.0028328882917825,0.002069054252012561,0.01649958193278733,0.7323588627535276,0.001989699234318366,0.015834963973590865,0.0027289081735711526,0.0026250338594892763,0.0026250338594892763,0.15414627297889852
gemma2,0.7778996290229296,0.7790771343164837,1.001513698232551,0.0011775052935540766,0.009389964061304051,0.7792503772710924,0.001350748248162732,0.010749890977555372,0.0015136982325511035,0.0015136982325511035,0.0015136982325511035,0.1479971617814261
Gen-Sequences-RNN,0.8247204088635341,0.8252155713490329,1.000600400426832,0.0004951624854987857,0.003948651414810864,0.8252569761200895,0.0005365672565553299,0.004270255036748247,0.0005868533451852916,0.0005734939968605256,0.0005734939968605256,0.14818511132322956
Deep-Residual-Learning,0.726945377585857,0.7270934586565001,1.000203703160112,0.00014808107064311537,0.0011808659707179673,0.7270962972386297,0.00015091965277273984,0.001201089704083784,0.0002001202986926727,0.00019654108298479297,0.00019654108298479297,0.2730546224141428
output-embed-llm,0.7408135042819661,0.7408762762239391,1.0000847337981964,6.277194197299704e-05,0.0005005720843985627,0.740873017667609,5.951338564294551e-05,0.00047363556327914455,8.162367543633475e-05,7.851671735657806e-05,7.851671735657806e-05,0.25279265382901833
Smarter-Better-Faster-Longer,0.7705028443367334,0.7705028443367334,1.0,0.0,0.0,0.7705028443367334,0.0,0.0,0.0,0.0,0.0,0.22374729968998502
YOLO-World-Real-Time,0.7763254659940139,0.7763254659940139,1.0,0.0,0.0,0.7763254659940139,0.0,0.0,0.0,0.0,0.0,0.22367453400598628
d-fine-redefine,0.8766456224765643,0.8766456224765643,1.0,0.0,0.0,0.8766456224765643,0.0,0.0,0.0,0.0,0.0,0.11760335086263102
kimiK2,0.9142591894780046,0.9142591894780046,1.0,0.0,0.0,0.9142591894780046,0.0,0.0,0.0,0.0,0.0,0.08574081052199527
simPo,0.8889679781955949,0.8889679781955949,1.0,0.0,0.0,0.8889679781955949,0.0,0.0,0.0,0.0,0.0,0.11103202180440486
