paper_id	citation_components	jsd	kl	spearman	kendall_tau_b	top4_overlap_count	top4_overlap_fraction	left_raw_score_sum	right_raw_score_sum
Fast-Monte-Carlo	49	0.382308	10.465029	-0.097872	-0.084324	1	0.250000	0.216985	1.000000
INFINI-GRAM-MINI	28	0.292771	6.894185	0.165229	0.138517	1	0.250000	0.074305	1.000000
Dynamic_Necklace_Splitting	18	0.177670	1.139148	0.570267	0.454582	2	0.500000	0.042726	1.000000
Native-Sparse-Attention	31	0.123888	2.319942	0.044722	0.037517	0	0.000000	0.142030	1.000000
Fair_Epsilon_Net	52	0.098751	0.462351	0.501785	0.362672	3	0.750000	0.202255	1.000000
Efficient-MM-Algo	29	0.090804	0.431218	-0.046355	-0.048390	2	0.500000	0.064026	1.000000
Rankit-Askit	17	0.089245	0.417583	0.498199	0.407787	1	0.250000	0.150022	1.000000
adv_res_paper	25	0.071495	1.470432	0.446416	0.347037	3	0.750000	0.165000	1.000000
AlgorithmicCollectiveAction	35	0.061334	0.478757	0.843115	0.719388	3	0.750000	0.070983	1.000000
Minoria	39	0.055744	0.222109	0.444957	0.332388	1	0.250000	0.158158	1.000000
Random_access_Retrieval-5	54	0.055177	0.240566	0.482859	0.386591	1	0.250000	0.189790	1.000000
HENN_ICLR_26-1	50	0.049403	0.592922	0.676701	0.531464	2	0.500000	0.147335	1.000000
shapley	59	0.049215	0.191763	0.561642	0.491643	3	0.750000	0.145892	1.000000
FCM_SIGMOD_CRV	30	0.045509	0.200782	0.544209	0.429655	4	1.000000	0.098857	1.000000
mm-mlp	40	0.040839	0.341415	0.509735	0.431869	3	0.750000	0.275779	1.000000
Fairness-Expo-Rankings	37	0.040690	0.160465	0.752957	0.651591	2	0.500000	0.139074	1.000000
fairRQ	67	0.038071	0.178597	0.702362	0.593876	1	0.250000	0.173373	1.000000
FairSetCover	51	0.037818	0.163493	0.618685	0.488514	4	1.000000	0.146006	1.000000
unf-prms	43	0.037167	0.148110	0.796511	0.643535	3	0.750000	0.204554	1.000000
requal	23	0.036838	1.063519	0.733216	0.625224	3	0.750000	0.115266	1.000000
ranked-ret	47	0.034657	0.135606	0.794491	0.667335	3	0.750000	0.217229	1.000000
AFD	46	0.034154	0.145301	0.432481	0.351439	3	0.750000	0.091500	1.000000
axolotl	38	0.032070	0.131852	0.679108	0.563607	3	0.750000	0.273646	1.000000
reg-ratio	29	0.029285	0.124325	0.903717	0.789462	3	0.750000	0.207240	1.000000
QR	30	0.027933	0.106646	0.886027	0.752696	3	0.750000	0.211769	1.000000
LSH-Curves	22	0.027432	0.120725	0.620466	0.512749	3	0.750000	0.072727	1.000000
RSR-Core	12	0.025413	0.098677	0.677770	0.533507	2	0.500000	0.153000	1.000000
RRR	51	0.025181	0.106660	0.802327	0.694448	4	1.000000	0.254956	1.000000
