paper_id	citation_components	jsd	kl	spearman	kendall_tau_b	top4_overlap_count	top4_overlap_fraction	left_raw_score_sum	right_raw_score_sum
Fast-Monte-Carlo	49	0.394576	10.557386	-0.112166	-0.092869	1	0.250000	0.216985	1.000000
INFINI-GRAM-MINI	28	0.282448	6.852530	0.190166	0.170915	1	0.250000	0.074305	1.000000
Dynamic_Necklace_Splitting	18	0.174104	1.122861	0.525967	0.387220	2	0.500000	0.042726	1.000000
Fair_Epsilon_Net	52	0.120760	0.655459	0.440140	0.317720	3	0.750000	0.202255	1.000000
Native-Sparse-Attention	31	0.103514	1.447259	0.039501	0.022213	1	0.250000	0.142030	1.000000
Rankit-Askit	17	0.081050	0.363012	0.563616	0.481678	1	0.250000	0.150022	1.000000
Efficient-MM-Algo	29	0.080465	0.394165	-0.024401	-0.034058	2	0.500000	0.064026	1.000000
adv_res_paper	25	0.064899	1.824310	0.434499	0.345088	3	0.750000	0.165000	1.000000
AlgorithmicCollectiveAction	35	0.055828	0.458176	0.858672	0.739739	3	0.750000	0.070983	1.000000
Random_access_Retrieval-5	54	0.055219	0.244817	0.498716	0.409499	1	0.250000	0.189790	1.000000
mm-mlp	40	0.052808	0.305171	0.444346	0.384207	3	0.750000	0.275779	1.000000
HENN_ICLR_26-1	50	0.051379	0.605244	0.644383	0.498436	2	0.500000	0.147335	1.000000
Minoria	39	0.050655	0.198361	0.479815	0.369577	1	0.250000	0.158158	1.000000
shapley	59	0.046978	0.179318	0.595327	0.527148	3	0.750000	0.145892	1.000000
fairRQ	67	0.046509	0.224653	0.747225	0.646925	1	0.250000	0.173373	1.000000
Fairness-Expo-Rankings	37	0.043955	0.185773	0.736968	0.620944	2	0.500000	0.139074	1.000000
FairSetCover	51	0.043819	0.189324	0.509653	0.406937	4	1.000000	0.146006	1.000000
unf-prms	43	0.040424	0.163075	0.784760	0.606616	3	0.750000	0.204554	1.000000
AFD	46	0.038129	0.162679	0.347658	0.304651	3	0.750000	0.091500	1.000000
requal	23	0.037705	1.059311	0.672100	0.571844	3	0.750000	0.115266	1.000000
RSR-Core	12	0.035938	0.136495	0.678979	0.537862	2	0.500000	0.153000	1.000000
ranked-ret	47	0.035179	0.138035	0.786593	0.661082	3	0.750000	0.217229	1.000000
FCM_SIGMOD_CRV	30	0.035033	0.146672	0.610794	0.486985	4	1.000000	0.098857	1.000000
reg-ratio	29	0.033584	0.145511	0.899121	0.783921	2	0.500000	0.207240	1.000000
axolotl	38	0.032466	0.134514	0.689455	0.579678	3	0.750000	0.273646	1.000000
LSH-Curves	22	0.032018	0.161913	0.633872	0.503599	3	0.750000	0.072727	1.000000
QR	30	0.028433	0.109993	0.898617	0.781726	3	0.750000	0.211769	1.000000
RRR	51	0.028200	0.124952	0.762455	0.665174	4	1.000000	0.254956	1.000000
