paper_id	citation_components	jsd	kl	spearman	kendall_tau_b	top4_overlap_count	top4_overlap_fraction	left_raw_score_sum	right_raw_score_sum
Fast-Monte-Carlo	49	0.388313	10.513120	-0.101303	-0.085274	1	0.250000	0.216985	1.000000
INFINI-GRAM-MINI	28	0.361734	7.141744	-0.034611	-0.013207	1	0.250000	0.074305	1.000000
Dynamic_Necklace_Splitting	18	0.172674	1.074480	0.577553	0.459878	3	0.750000	0.042726	1.000000
Efficient-MM-Algo	29	0.123914	0.566794	-0.277038	-0.234447	1	0.250000	0.064026	1.000000
Fair_Epsilon_Net	52	0.113590	0.528752	0.217599	0.167764	3	0.750000	0.202255	1.000000
Native-Sparse-Attention	31	0.078606	1.179997	0.268210	0.192766	0	0.000000	0.142030	1.000000
HENN_ICLR_26-1	50	0.074485	0.748290	0.582483	0.443536	2	0.500000	0.147335	1.000000
Rankit-Askit	17	0.073177	0.313258	0.526183	0.428814	2	0.500000	0.150022	1.000000
AFD	46	0.067534	0.316282	0.394063	0.336724	3	0.750000	0.091500	1.000000
adv_res_paper	25	0.062654	0.912704	0.267227	0.197195	3	0.750000	0.165000	1.000000
AlgorithmicCollectiveAction	35	0.055307	0.175103	0.878313	0.745687	2	0.500000	0.070983	1.000000
Minoria	39	0.048337	0.191359	0.507823	0.407700	1	0.250000	0.158158	1.000000
reg-ratio	29	0.046940	0.213778	0.839603	0.685741	2	0.500000	0.207240	1.000000
Random_access_Retrieval-5	54	0.043214	0.186693	0.570826	0.462315	2	0.500000	0.189790	1.000000
shapley	59	0.042561	0.163592	0.578950	0.508888	3	0.750000	0.145892	1.000000
Fairness-Expo-Rankings	37	0.041090	0.169870	0.721893	0.594216	2	0.500000	0.139074	1.000000
unf-prms	43	0.039273	0.158907	0.745164	0.576805	3	0.750000	0.204554	1.000000
fairRQ	67	0.036201	0.170814	0.796320	0.678552	1	0.250000	0.173373	1.000000
QR	30	0.034753	0.137014	0.853370	0.724590	3	0.750000	0.211769	1.000000
LSH-Curves	22	0.031261	0.137824	0.536902	0.454935	3	0.750000	0.072727	1.000000
ranked-ret	47	0.030993	0.120773	0.830694	0.713537	3	0.750000	0.217229	1.000000
FairSetCover	51	0.030526	0.139571	0.801804	0.684264	3	0.750000	0.146006	1.000000
mm-mlp	40	0.029999	0.133172	0.676375	0.593770	3	0.750000	0.275779	1.000000
axolotl	38	0.029141	0.120264	0.736142	0.621505	3	0.750000	0.273646	1.000000
RSR-Core	12	0.028613	0.108418	0.738768	0.596559	2	0.500000	0.153000	1.000000
RRR	51	0.026092	0.115986	0.838411	0.736774	4	1.000000	0.254956	1.000000
FCM_SIGMOD_CRV	30	0.020486	0.081160	0.545628	0.452967	4	1.000000	0.098857	1.000000
requal	23	0.017891	0.069593	0.704208	0.611482	3	0.750000	0.115266	1.000000
