reference	metric_key	metric_label	model	paper_id	value
Sonnet-4.6	kl_divergence	KL	gemma2:2b	AFD	0.944941
Sonnet-4.6	kl_divergence	KL	gemma2:2b	AlgorithmicCollectiveAction	1.461942
Sonnet-4.6	kl_divergence	KL	gemma2:2b	Corba-LLM	0.454551
Sonnet-4.6	kl_divergence	KL	gemma2:2b	DyLAN	0.609299
Sonnet-4.6	kl_divergence	KL	gemma2:2b	Dynamic-role-MA-LLM	6.889668
Sonnet-4.6	kl_divergence	KL	gemma2:2b	Dynamic_Necklace_Splitting	2.182574
Sonnet-4.6	kl_divergence	KL	gemma2:2b	Efficient-MM-Algo	12.579559
Sonnet-4.6	kl_divergence	KL	gemma2:2b	FCM_SIGMOD_CRV	1.256540
Sonnet-4.6	kl_divergence	KL	gemma2:2b	Fair-Prompt-LLM	0.609817
Sonnet-4.6	kl_divergence	KL	gemma2:2b	FairSetCover	1.281419
Sonnet-4.6	kl_divergence	KL	gemma2:2b	Fair_Epsilon_Net	0.788687
Sonnet-4.6	kl_divergence	KL	gemma2:2b	Fairness-Expo-Rankings	2.388024
Sonnet-4.6	kl_divergence	KL	gemma2:2b	Fast-Monte-Carlo	1.935151
Sonnet-4.6	kl_divergence	KL	gemma2:2b	Gen-LLM	0.447641
Sonnet-4.6	kl_divergence	KL	gemma2:2b	HENN_ICLR_26-1	0.408430
Sonnet-4.6	kl_divergence	KL	gemma2:2b	INFINI-GRAM-MINI	0.779728
Sonnet-4.6	kl_divergence	KL	gemma2:2b	Interactive-Learning	0.513166
Sonnet-4.6	kl_divergence	KL	gemma2:2b	LLM-Blender	0.532849
Sonnet-4.6	kl_divergence	KL	gemma2:2b	LSH-Curves	1.373821
Sonnet-4.6	kl_divergence	KL	gemma2:2b	MA-LLM-Debias	1.144745
Sonnet-4.6	kl_divergence	KL	gemma2:2b	MA-LLM-Judge	1.305090
Sonnet-4.6	kl_divergence	KL	gemma2:2b	MA-LLM-attack	1.284559
Sonnet-4.6	kl_divergence	KL	gemma2:2b	Minoria	1.022881
Sonnet-4.6	kl_divergence	KL	gemma2:2b	MoA	0.819251
Sonnet-4.6	kl_divergence	KL	gemma2:2b	Native-Sparse-Attention	4.607756
Sonnet-4.6	kl_divergence	KL	gemma2:2b	QR	1.207399
Sonnet-4.6	kl_divergence	KL	gemma2:2b	RRR	0.971176
Sonnet-4.6	kl_divergence	KL	gemma2:2b	RSR-Core	0.150809
Sonnet-4.6	kl_divergence	KL	gemma2:2b	Random_access_Retrieval-5	0.854999
Sonnet-4.6	kl_divergence	KL	gemma2:2b	Rankit-Askit	1.946128
Sonnet-4.6	kl_divergence	KL	gemma2:2b	Reg-Min-Rep	0.645241
Sonnet-4.6	kl_divergence	KL	gemma2:2b	Trojan-LLM	3.462739
Sonnet-4.6	kl_divergence	KL	gemma2:2b	adv_res_paper	1.398998
Sonnet-4.6	kl_divergence	KL	gemma2:2b	auto-relate	0.636690
Sonnet-4.6	kl_divergence	KL	gemma2:2b	axolotl	1.141822
Sonnet-4.6	kl_divergence	KL	gemma2:2b	divergent-thinking	5.154055
Sonnet-4.6	kl_divergence	KL	gemma2:2b	eff-approx-query	0.705656
Sonnet-4.6	kl_divergence	KL	gemma2:2b	exp-ranking	0.436914
Sonnet-4.6	kl_divergence	KL	gemma2:2b	fairRQ	1.410145
Sonnet-4.6	kl_divergence	KL	gemma2:2b	local-stab-ranking	0.355400
Sonnet-4.6	kl_divergence	KL	gemma2:2b	mm-mlp	0.621299
Sonnet-4.6	kl_divergence	KL	gemma2:2b	multi-agent-collab	1.349946
Sonnet-4.6	kl_divergence	KL	gemma2:2b	query-refine	1.976807
Sonnet-4.6	kl_divergence	KL	gemma2:2b	ranked-ret	0.852178
Sonnet-4.6	kl_divergence	KL	gemma2:2b	reg-ratio	0.509140
Sonnet-4.6	kl_divergence	KL	gemma2:2b	requal	0.408954
Sonnet-4.6	kl_divergence	KL	gemma2:2b	shapley	0.928597
Sonnet-4.6	kl_divergence	KL	gemma2:2b	synthesize-score	2.610669
Sonnet-4.6	kl_divergence	KL	gemma2:2b	uncertainty-LLM	1.340375
Sonnet-4.6	kl_divergence	KL	gemma2:2b	unf-prms	0.643860
Sonnet-4.6	kl_divergence	KL	gemma3:4b	AFD	1.679118
Sonnet-4.6	kl_divergence	KL	gemma3:4b	AlgorithmicCollectiveAction	0.784270
Sonnet-4.6	kl_divergence	KL	gemma3:4b	Corba-LLM	0.727571
Sonnet-4.6	kl_divergence	KL	gemma3:4b	DyLAN	0.945433
Sonnet-4.6	kl_divergence	KL	gemma3:4b	Dynamic-role-MA-LLM	7.141391
Sonnet-4.6	kl_divergence	KL	gemma3:4b	Dynamic_Necklace_Splitting	1.915274
Sonnet-4.6	kl_divergence	KL	gemma3:4b	Efficient-MM-Algo	12.677698
