metric_key	metric_label	model	paper_id	anchor_value	model_value	plotted_difference
kl_divergence	KL	gemma2:2b	AFD	0.667720	0.944941	0.277221
kl_divergence	KL	gemma2:2b	AlgorithmicCollectiveAction	1.073621	1.461942	0.388320
kl_divergence	KL	gemma2:2b	Corba-LLM	0.359839	0.454551	0.094712
kl_divergence	KL	gemma2:2b	DyLAN	0.391522	0.609299	0.217776
kl_divergence	KL	gemma2:2b	Dynamic-role-MA-LLM	6.758754	6.889668	0.130913
kl_divergence	KL	gemma2:2b	Dynamic_Necklace_Splitting	2.010115	2.182574	0.172459
kl_divergence	KL	gemma2:2b	Efficient-MM-Algo	12.922940	12.579559	-0.343382
kl_divergence	KL	gemma2:2b	FCM_SIGMOD_CRV	1.075480	1.256540	0.181060
kl_divergence	KL	gemma2:2b	Fair-Prompt-LLM	1.301805	0.609817	-0.691987
kl_divergence	KL	gemma2:2b	FairSetCover	0.931124	1.281419	0.350294
kl_divergence	KL	gemma2:2b	Fair_Epsilon_Net	0.843227	0.788687	-0.054540
kl_divergence	KL	gemma2:2b	Fairness-Expo-Rankings	1.050558	2.388024	1.337467
kl_divergence	KL	gemma2:2b	Fast-Monte-Carlo	2.192456	1.935151	-0.257305
kl_divergence	KL	gemma2:2b	Gen-LLM	0.357241	0.447641	0.090400
kl_divergence	KL	gemma2:2b	HENN_ICLR_26-1	0.373000	0.408430	0.035430
kl_divergence	KL	gemma2:2b	INFINI-GRAM-MINI	0.677727	0.779728	0.102001
kl_divergence	KL	gemma2:2b	Interactive-Learning	1.035402	0.513166	-0.522236
kl_divergence	KL	gemma2:2b	LLM-Blender	0.280858	0.532849	0.251991
kl_divergence	KL	gemma2:2b	LSH-Curves	1.246105	1.373821	0.127716
kl_divergence	KL	gemma2:2b	MA-LLM-Debias	0.850143	1.144745	0.294601
kl_divergence	KL	gemma2:2b	MA-LLM-Judge	0.690034	1.305090	0.615056
kl_divergence	KL	gemma2:2b	MA-LLM-attack	0.318217	1.284559	0.966342
kl_divergence	KL	gemma2:2b	Minoria	1.128366	1.022881	-0.105485
kl_divergence	KL	gemma2:2b	MoA	0.580270	0.819251	0.238982
kl_divergence	KL	gemma2:2b	Native-Sparse-Attention	3.622281	4.607756	0.985475
kl_divergence	KL	gemma2:2b	QR	0.858967	1.207399	0.348432
kl_divergence	KL	gemma2:2b	RRR	0.886873	0.971176	0.084303
kl_divergence	KL	gemma2:2b	RSR-Core	0.173938	0.150809	-0.023128
kl_divergence	KL	gemma2:2b	Random_access_Retrieval-5	0.721678	0.854999	0.133322
kl_divergence	KL	gemma2:2b	Rankit-Askit	0.728295	1.946128	1.217833
kl_divergence	KL	gemma2:2b	Reg-Min-Rep	0.483147	0.645241	0.162094
kl_divergence	KL	gemma2:2b	Trojan-LLM	3.025131	3.462739	0.437608
kl_divergence	KL	gemma2:2b	adv_res_paper	0.789675	1.398998	0.609323
kl_divergence	KL	gemma2:2b	auto-relate	0.584841	0.636690	0.051848
kl_divergence	KL	gemma2:2b	axolotl	0.475805	1.141822	0.666017
kl_divergence	KL	gemma2:2b	divergent-thinking	5.259591	5.154055	-0.105537
