metric_key	metric_label	model	mean_difference	ci_low	ci_high	significant_vs_anchor
kl_divergence	KL	gemma2:2b	0.232099	0.128133	0.338851	yes
kl_divergence	KL	gemma3:4b	0.453139	0.207029	0.719558	yes
kl_divergence	KL	llama3.2:1b	1.043958	0.567184	1.626961	yes
kl_divergence	KL	llama3.2:3b	0.924095	0.658526	1.211968	yes
kl_divergence	KL	qwen2.5:3b	0.593912	0.262182	1.037375	yes
kl_divergence	KL	qwen3:4b	0.324563	0.019686	0.739465	yes
kl_divergence	KL	phi3:medium	0.251729	0.064339	0.463263	yes
kl_divergence	KL	Citation freq.	6.025631	4.747496	7.347488	yes
kl_divergence	KL	Length-wtd. freq.	6.398825	5.007268	7.844979	yes
jensen_shannon_divergence	JSD	gemma2:2b	0.030756	0.020278	0.041966	yes
jensen_shannon_divergence	JSD	gemma3:4b	0.053566	0.036180	0.072076	yes
jensen_shannon_divergence	JSD	llama3.2:1b	0.052916	0.037564	0.068441	yes
jensen_shannon_divergence	JSD	llama3.2:3b	0.064677	0.046951	0.083509	yes
jensen_shannon_divergence	JSD	qwen2.5:3b	0.030130	0.016116	0.045289	yes
jensen_shannon_divergence	JSD	qwen3:4b	0.013043	-0.004517	0.031445	no
jensen_shannon_divergence	JSD	phi3:medium	0.027150	0.013851	0.041196	yes
jensen_shannon_divergence	JSD	Citation freq.	0.101900	0.071448	0.134800	yes
jensen_shannon_divergence	JSD	Length-wtd. freq.	0.103937	0.069544	0.140939	yes
spearman	Spearman $\rho$	gemma2:2b	0.122846	0.076489	0.168793	yes
spearman	Spearman $\rho$	gemma3:4b	0.168537	0.111266	0.222415	yes
spearman	Spearman $\rho$	llama3.2:1b	0.144683	0.082223	0.208923	yes
spearman	Spearman $\rho$	llama3.2:3b	0.119482	0.072737	0.168605	yes
spearman	Spearman $\rho$	qwen2.5:3b	0.088905	0.025354	0.150035	yes
spearman	Spearman $\rho$	qwen3:4b	0.093276	0.030238	0.156107	yes
spearman	Spearman $\rho$	phi3:medium	0.113330	0.070097	0.158325	yes
spearman	Spearman $\rho$	Citation freq.	0.114901	0.043407	0.186984	yes
spearman	Spearman $\rho$	Length-wtd. freq.	0.102134	0.026326	0.180480	yes
top_k_overlap_fraction	Top-4 Overlap	gemma2:2b	0.070000	0.015000	0.125000	yes
top_k_overlap_fraction	Top-4 Overlap	gemma3:4b	0.105000	0.040000	0.170000	yes
top_k_overlap_fraction	Top-4 Overlap	llama3.2:1b	0.045000	-0.010000	0.100000	no
top_k_overlap_fraction	Top-4 Overlap	llama3.2:3b	0.125000	0.070000	0.180000	yes
top_k_overlap_fraction	Top-4 Overlap	qwen2.5:3b	0.015000	-0.050000	0.085000	no
top_k_overlap_fraction	Top-4 Overlap	qwen3:4b	0.045000	-0.025000	0.110000	no
top_k_overlap_fraction	Top-4 Overlap	phi3:medium	0.080000	0.030000	0.135000	yes
top_k_overlap_fraction	Top-4 Overlap	Citation freq.	0.043333	-0.035000	0.115000	no
top_k_overlap_fraction	Top-4 Overlap	Length-wtd. freq.	0.033333	-0.043333	0.110000	no
