reference	reference_tag	papers_evaluated	model	metric	value
Human		50	qwen3:1.7b	Recall@4	0.330000
Human		50	qwen3:1.7b	Hit@4	0.820000
Human		50	qwen3:1.7b	MRR	0.241667
Human		50	qwen3:1.7b	nDCG@4	0.336655
Human		50	qwen3:4b	Recall@4	0.340000
Human		50	qwen3:4b	Hit@4	0.760000
Human		50	qwen3:4b	MRR	0.255000
Human		50	qwen3:4b	nDCG@4	0.329707
Human		50	gemma2:2b	Recall@4	0.270000
Human		50	gemma2:2b	Hit@4	0.760000
Human		50	gemma2:2b	MRR	0.238333
Human		50	gemma2:2b	nDCG@4	0.300197
Human		50	gemma3:4b	Recall@4	0.295000
Human		50	gemma3:4b	Hit@4	0.760000
Human		50	gemma3:4b	MRR	0.235000
Human		50	gemma3:4b	nDCG@4	0.292978
Human		50	phi3:medium	Recall@4	0.305000
Human		50	phi3:medium	Hit@4	0.760000
Human		50	phi3:medium	MRR	0.205000
Human		50	phi3:medium	nDCG@4	0.296103
Human		50	qwen2.5:3b	Recall@4	0.310000
Human		50	qwen2.5:3b	Hit@4	0.840000
Human		50	qwen2.5:3b	MRR	0.298333
Human		50	qwen2.5:3b	nDCG@4	0.363995
Human		50	llama3.2:1b	Recall@4	0.295000
Human		50	llama3.2:1b	Hit@4	0.800000
Human		50	llama3.2:1b	MRR	0.226667
Human		50	llama3.2:1b	nDCG@4	0.323065
Human		50	llama3.2:3b	Recall@4	0.275000
Human		50	llama3.2:3b	Hit@4	0.640000
Human		50	llama3.2:3b	MRR	0.278333
Human		50	llama3.2:3b	nDCG@4	0.327229
Human		50	Citation freq.	Recall@4	0.320000
Human		50	Citation freq.	Hit@4	0.840000
Human		50	Citation freq.	MRR	0.298333
Human		50	Citation freq.	nDCG@4	0.444270
Human		50	Length-wtd. freq.	Recall@4	0.320000
Human		50	Length-wtd. freq.	Hit@4	0.800000
Human		50	Length-wtd. freq.	MRR	0.293333
Human		50	Length-wtd. freq.	nDCG@4	0.423838
