model	gemma2:2b	gemma3:4b	llama3.2:1b	llama3.2:3b	qwen2.5:3b	qwen3:1.7b	qwen3:4b	phi3:medium	Citation freq.	Length-wtd. freq.
gemma2:2b	0	33	33	36	25	10	17	23	34	31
gemma3:4b	17	0	26	30	15	10	10	18	32	31
llama3.2:1b	17	24	0	30	19	8	17	13	30	30
llama3.2:3b	14	20	20	0	14	7	13	14	29	30
qwen2.5:3b	25	35	31	36	0	16	19	22	35	30
qwen3:1.7b	40	40	42	43	34	0	27	37	41	40
qwen3:4b	33	40	33	37	31	23	0	25	39	38
phi3:medium	27	32	37	36	28	13	25	0	33	31
Citation freq.	16	18	20	21	15	9	11	17	0	20
Length-wtd. freq.	19	19	20	20	20	10	12	19	30	0
