model	gemma2:2b	gemma3:4b	llama3.2:1b	llama3.2:3b	qwen2.5:3b	qwen3:1.7b	qwen3:4b	phi3:medium	Citation freq.	Length-wtd. freq.
gemma2:2b	0	29	36	38	29	10	20	24	46	47
gemma3:4b	21	0	30	33	26	14	14	17	43	44
llama3.2:1b	14	20	0	27	18	11	17	12	43	44
llama3.2:3b	12	17	23	0	15	6	13	7	42	43
qwen2.5:3b	21	24	32	35	0	13	18	19	45	46
qwen3:1.7b	40	36	39	44	37	0	27	32	47	48
qwen3:4b	30	36	33	37	32	23	0	26	46	46
phi3:medium	26	33	38	43	31	18	24	0	44	46
Citation freq.	4	7	7	8	5	3	4	6	0	31
Length-wtd. freq.	3	6	6	7	4	2	4	4	19	0
