model	gemma2:2b	gemma3:4b	llama3.2:1b	llama3.2:3b	qwen2.5:3b	qwen3:1.7b	qwen3:4b	phi3:medium	Citation freq.	Length-wtd. freq.
gemma2:2b	0	34	28	25	23	12	22	26	25	24
gemma3:4b	16	0	20	16	22	7	20	19	17	19
llama3.2:1b	22	30	0	25	21	13	20	22	23	21
llama3.2:3b	25	34	25	0	26	12	24	24	22	25
qwen2.5:3b	27	28	29	24	0	14	29	27	25	26
qwen3:1.7b	38	43	37	38	36	0	35	40	32	32
qwen3:4b	28	30	30	26	21	15	0	23	27	25
phi3:medium	24	31	28	26	23	10	27	0	26	27
Citation freq.	25	33	27	28	25	18	23	24	0	23
Length-wtd. freq.	26	31	29	25	24	18	25	23	26	0
