model	gemma2:2b	gemma3:4b	llama3.2:1b	llama3.2:3b	qwen2.5:3b	qwen3:1.7b	qwen3:4b	phi3:medium	Citation freq.	Length-wtd. freq.
gemma2:2b	0	16	10	17	11	7	15	14	14	15
gemma3:4b	12	0	7	12	10	6	9	9	11	14
llama3.2:1b	13	16	0	16	10	11	15	17	17	17
llama3.2:3b	7	9	6	0	8	4	9	8	10	11
qwen2.5:3b	19	21	15	21	0	13	14	17	19	18
qwen3:1.7b	20	21	18	23	17	0	19	17	19	18
qwen3:4b	20	16	15	21	11	10	0	15	15	16
phi3:medium	11	13	12	15	9	5	13	0	15	14
Citation freq.	18	18	15	19	13	12	11	17	0	12
Length-wtd. freq.	16	23	16	26	14	14	15	19	15	0
