model	k	metric	mean	sem
llama3.2:1b	1	Overlap@k	0.3600	0.0686
llama3.2:1b	1	Recall@k	0.3600	0.0686
llama3.2:1b	1	Hit@k	0.3600	0.0686
llama3.2:1b	1	nDCG@k	0.3600	0.0686
llama3.2:1b	2	Overlap@k	0.8400	0.0963
llama3.2:1b	2	Recall@k	0.4200	0.0481
llama3.2:1b	2	Hit@k	0.6800	0.0666
llama3.2:1b	2	nDCG@k	0.4446	0.0555
llama3.2:1b	3	Overlap@k	1.2600	0.1272
llama3.2:1b	3	Recall@k	0.4200	0.0424
llama3.2:1b	3	Hit@k	0.8000	0.0571
llama3.2:1b	3	nDCG@k	0.4899	0.0514
llama3.2:1b	4	Overlap@k	1.7000	0.1407
llama3.2:1b	4	Recall@k	0.4250	0.0352
llama3.2:1b	4	Hit@k	0.8800	0.0464
llama3.2:1b	4	nDCG@k	0.5039	0.0484
llama3.2:1b	5	Overlap@k	2.1200	0.1582
llama3.2:1b	5	Recall@k	0.4240	0.0316
llama3.2:1b	5	Hit@k	0.9400	0.0339
llama3.2:1b	5	nDCG@k	0.5126	0.0470
llama3.2:1b	6	Overlap@k	2.6000	0.1895
llama3.2:1b	6	Recall@k	0.4333	0.0316
llama3.2:1b	6	Hit@k	0.9400	0.0339
llama3.2:1b	6	nDCG@k	0.5168	0.0465
llama3.2:1b	7	Overlap@k	3.1200	0.1930
llama3.2:1b	7	Recall@k	0.4457	0.0276
llama3.2:1b	7	Hit@k	1.0000	0.0000
llama3.2:1b	7	nDCG@k	0.5349	0.0442
llama3.2:1b	8	Overlap@k	3.7400	0.2246
llama3.2:1b	8	Recall@k	0.4675	0.0281
llama3.2:1b	8	Hit@k	1.0000	0.0000
llama3.2:1b	8	nDCG@k	0.5490	0.0441
llama3.2:3b	1	Overlap@k	0.2200	0.0592
llama3.2:3b	1	Recall@k	0.2200	0.0592
llama3.2:3b	1	Hit@k	0.2200	0.0592
llama3.2:3b	1	nDCG@k	0.2200	0.0592
llama3.2:3b	2	Overlap@k	0.6400	0.0980
llama3.2:3b	2	Recall@k	0.3200	0.0490
llama3.2:3b	2	Hit@k	0.5200	0.0714
llama3.2:3b	2	nDCG@k	0.3188	0.0524
llama3.2:3b	3	Overlap@k	1.0200	0.1229
llama3.2:3b	3	Recall@k	0.3400	0.0410
llama3.2:3b	3	Hit@k	0.6600	0.0677
llama3.2:3b	3	nDCG@k	0.3936	0.0500
llama3.2:3b	4	Overlap@k	1.3800	0.1425
llama3.2:3b	4	Recall@k	0.3450	0.0356
llama3.2:3b	4	Hit@k	0.7800	0.0592
llama3.2:3b	4	nDCG@k	0.4029	0.0475
llama3.2:3b	5	Overlap@k	1.9000	0.1648
llama3.2:3b	5	Recall@k	0.3800	0.0330
llama3.2:3b	5	Hit@k	0.8600	0.0496
llama3.2:3b	5	nDCG@k	0.4210	0.0451
llama3.2:3b	6	Overlap@k	2.4200	0.1981
llama3.2:3b	6	Recall@k	0.4033	0.0330
llama3.2:3b	6	Hit@k	0.9000	0.0429
llama3.2:3b	6	nDCG@k	0.4336	0.0450
llama3.2:3b	7	Overlap@k	3.0200	0.2222
llama3.2:3b	7	Recall@k	0.4314	0.0317
llama3.2:3b	7	Hit@k	0.9000	0.0429
llama3.2:3b	7	nDCG@k	0.4458	0.0452
llama3.2:3b	8	Overlap@k	3.6200	0.2505
llama3.2:3b	8	Recall@k	0.4525	0.0313
llama3.2:3b	8	Hit@k	0.9000	0.0429
llama3.2:3b	8	nDCG@k	0.4582	0.0453
gemma2:2b	1	Overlap@k	0.4600	0.0712
gemma2:2b	1	Recall@k	0.4600	0.0712
gemma2:2b	1	Hit@k	0.4600	0.0712
gemma2:2b	1	nDCG@k	0.4600	0.0712
