model	model_tag	papers_evaluated	mean_kl_divergence	mean_kl_divergence_ci_low	mean_kl_divergence_ci_high	median_kl_divergence	std_kl_divergence	mean_jensen_shannon_divergence	mean_jensen_shannon_divergence_ci_low	mean_jensen_shannon_divergence_ci_high	mean_spearman	mean_spearman_ci_low	mean_spearman_ci_high	mean_kendall_tau_b	mean_kendall_tau_b_ci_low	mean_kendall_tau_b_ci_high	mean_top_4_overlap_count	mean_top_4_overlap_count_ci_low	mean_top_4_overlap_count_ci_high	mean_top_4_overlap_fraction	mean_top_4_overlap_fraction_ci_low	mean_top_4_overlap_fraction_ci_high	selection_rank_sum	is_recommended
qwen3:1.7b	qwen3_1_7_promptv2,qwen3_1_7b_promptv2_retry8	50	1.529864	1.032819	2.113195	0.748038	1.976014	0.143541	0.122486	0.165524	0.456007	0.389990	0.517710	0.358844	0.302939	0.413960	1.880000	1.580000	2.180000	0.470000	0.395000	0.545000	10	yes
qwen3:4b	qwen3_4b_promptv2,qwen3_4b_promptv2_retry8	50	1.774200	1.181393	2.464510	0.815869	2.357117	0.156501	0.134288	0.180363	0.423740	0.356670	0.489465	0.321453	0.267697	0.375575	1.840000	1.540000	2.120000	0.460000	0.390000	0.535000	22	no
qwen2.5:3b	qwen2_5_3b_promptv2,qwen2_5_3b_promptv2_retry8	50	2.046665	1.442454	2.714878	1.121217	2.348380	0.170922	0.146957	0.195441	0.418913	0.359779	0.473523	0.329220	0.282827	0.376877	1.880000	1.600000	2.160000	0.470000	0.405000	0.535000	24	no
gemma2:2b	gemma2_2b_promptv2,gemma2_2b_promptv2_retry8	50	1.667464	1.169155	2.258955	0.880386	2.003740	0.165803	0.140130	0.193345	0.385031	0.324414	0.444527	0.301059	0.251793	0.350871	1.740000	1.460000	2.020000	0.435000	0.365000	0.500000	26	no
phi3:medium	phi3_medium_promptv2,phi3_med_promptv2,phi3_medium_promptv2_retry8	50	1.768196	1.171496	2.477715	0.736894	2.401072	0.163801	0.140515	0.189139	0.395061	0.335828	0.451149	0.301158	0.254128	0.346668	1.800000	1.500000	2.100000	0.450000	0.375000	0.525000	27	no
llama3.2:1b	llama3_2_1b_promptv2,llama3_2_1b_promptv2_retry8	50	2.459093	1.736950	3.283474	1.586659	2.804209	0.195211	0.169484	0.222790	0.349037	0.283151	0.413618	0.269386	0.218797	0.321454	1.900000	1.620000	2.180000	0.475000	0.410000	0.545000	36	no
gemma3:4b	gemma3_4b_promptv2,gemma3_4b_promptv2_retry8	50	1.896500	1.416379	2.438211	1.030177	1.893488	0.194737	0.171684	0.218659	0.307430	0.246228	0.365420	0.234660	0.185615	0.283772	1.500000	1.200000	1.820000	0.375000	0.300000	0.455000	40	no
llama3.2:3b	llama3_2_promptv2,llama3_2_3b_promptv2,llama3_2_3b_promptv2_retry8	50	2.446444	1.882653	3.061282	1.671901	2.164045	0.211062	0.186480	0.236838	0.345717	0.287780	0.401482	0.261321	0.216125	0.305610	1.580000	1.300000	1.860000	0.395000	0.325000	0.465000	42	no
Citation freq.	citation_frequency	50	7.814335	6.452791	9.174438	7.108564	4.920688	0.246247	0.209378	0.285359	0.300117	0.223161	0.375876	0.244089	0.180949	0.307236	1.840000	1.560000	2.120000	0.471667	0.396667	0.546667	47	no
Length-wtd. freq.	length_weighted_frequency	50	8.049366	6.641340	9.521237	6.959743	5.196219	0.260762	0.223079	0.301369	0.301332	0.214022	0.380221	0.242850	0.172846	0.311843	1.640000	1.400000	1.880000	0.426667	0.365000	0.491667	56	no
