model_tag	attempt_budget	metric	value
llama3.2_1b	1	Overlap@4	0.5357142857142857
llama3.2_1b	2	Overlap@4	0.6785714285714286
llama3.2_1b	3	Overlap@4	0.6785714285714286
llama3.2_1b	4	Overlap@4	0.6785714285714286
llama3.2_1b	5	Overlap@4	0.6785714285714286
llama3.2_1b	1	Recall@4	0.13392857142857142
llama3.2_1b	2	Recall@4	0.16964285714285715
llama3.2_1b	3	Recall@4	0.16964285714285715
llama3.2_1b	4	Recall@4	0.16964285714285715
llama3.2_1b	5	Recall@4	0.16964285714285715
llama3.2_1b	1	Hit@4	0.35714285714285715
llama3.2_1b	2	Hit@4	0.5357142857142857
llama3.2_1b	3	Hit@4	0.5357142857142857
llama3.2_1b	4	Hit@4	0.5357142857142857
llama3.2_1b	5	Hit@4	0.5357142857142857
llama3.2_1b	1	MRR	0.044642857142857144
llama3.2_1b	2	MRR	0.05654761904761905
llama3.2_1b	3	MRR	0.05654761904761905
llama3.2_1b	4	MRR	0.05654761904761905
llama3.2_1b	5	MRR	0.05654761904761905
llama3_2	1	Overlap@4	0.6071428571428571
llama3_2	2	Overlap@4	0.5357142857142857
llama3_2	3	Overlap@4	0.5357142857142857
llama3_2	4	Overlap@4	0.5357142857142857
llama3_2	5	Overlap@4	0.5357142857142857
llama3_2	1	Recall@4	0.15178571428571427
llama3_2	2	Recall@4	0.13392857142857142
llama3_2	3	Recall@4	0.13392857142857142
llama3_2	4	Recall@4	0.13392857142857142
llama3_2	5	Recall@4	0.13392857142857142
llama3_2	1	Hit@4	0.4642857142857143
llama3_2	2	Hit@4	0.39285714285714285
llama3_2	3	Hit@4	0.39285714285714285
llama3_2	4	Hit@4	0.39285714285714285
llama3_2	5	Hit@4	0.39285714285714285
llama3_2	1	MRR	0.038690476190476185
llama3_2	2	MRR	0.05357142857142857
llama3_2	3	MRR	0.05357142857142857
llama3_2	4	MRR	0.05357142857142857
llama3_2	5	MRR	0.05357142857142857
gemma2_2b_2	1	Overlap@4	0.7857142857142857
gemma2_2b_2	2	Overlap@4	0.7857142857142857
gemma2_2b_2	3	Overlap@4	0.7857142857142857
gemma2_2b_2	4	Overlap@4	0.7857142857142857
gemma2_2b_2	5	Overlap@4	0.7857142857142857
gemma2_2b_2	1	Recall@4	0.19642857142857142
