model_tag	sample_size	metric	value
llama3.2:1b	1	Overlap@4	1.2857142857142858
llama3.2:1b	3	Overlap@4	1.25
llama3.2:1b	5	Overlap@4	1.25
llama3.2:1b	1	Recall@4	0.32142857142857145
llama3.2:1b	3	Recall@4	0.3125
llama3.2:1b	5	Recall@4	0.3125
llama3.2:1b	1	Hit@4	0.8214285714285714
llama3.2:1b	3	Hit@4	0.7857142857142857
llama3.2:1b	5	Hit@4	0.8214285714285714
llama3.2:1b	1	MRR	0.2589285714285714
llama3.2:1b	3	MRR	0.22916666666666666
llama3.2:1b	5	MRR	0.21428571428571427
llama3.2:3b	1	Overlap@4	1.4285714285714286
llama3.2:3b	3	Overlap@4	1.3571428571428572
llama3.2:3b	5	Overlap@4	1.4642857142857142
llama3.2:3b	1	Recall@4	0.35714285714285715
llama3.2:3b	3	Recall@4	0.3392857142857143
llama3.2:3b	5	Recall@4	0.36607142857142855
llama3.2:3b	1	Hit@4	0.8214285714285714
llama3.2:3b	3	Hit@4	0.8214285714285714
llama3.2:3b	5	Hit@4	0.7857142857142857
llama3.2:3b	1	MRR	0.3273809523809524
llama3.2:3b	3	MRR	0.3154761904761904
llama3.2:3b	5	MRR	0.3779761904761905
gemma2:2b	1	Overlap@4	1.3571428571428572
gemma2:2b	3	Overlap@4	1.3571428571428572
gemma2:2b	5	Overlap@4	1.1785714285714286
gemma2:2b	1	Recall@4	0.3392857142857143
gemma2:2b	3	Recall@4	0.3392857142857143
gemma2:2b	5	Recall@4	0.29464285714285715
gemma2:2b	1	Hit@4	0.8571428571428571
gemma2:2b	3	Hit@4	0.8214285714285714
gemma2:2b	5	Hit@4	0.75
gemma2:2b	1	MRR	0.3244047619047619
gemma2:2b	3	MRR	0.3154761904761905
gemma2:2b	5	MRR	0.23809523809523808
gemma3:4b	1	Overlap@4	1.3571428571428572
gemma3:4b	3	Overlap@4	1.2857142857142858
gemma3:4b	5	Overlap@4	1.3928571428571428
gemma3:4b	1	Recall@4	0.3392857142857143
gemma3:4b	3	Recall@4	0.32142857142857145
gemma3:4b	5	Recall@4	0.3482142857142857
gemma3:4b	1	Hit@4	0.8571428571428571
gemma3:4b	3	Hit@4	0.8571428571428571
gemma3:4b	5	Hit@4	0.8214285714285714
gemma3:4b	1	MRR	0.3511904761904762
gemma3:4b	3	MRR	0.2738095238095238
gemma3:4b	5	MRR	0.29166666666666663
qwen3:1.7b	1	Overlap@4	1.5357142857142858
qwen3:1.7b	3	Overlap@4	1.4642857142857142
qwen3:1.7b	5	Overlap@4	1.5
qwen3:1.7b	1	Recall@4	0.38392857142857145
qwen3:1.7b	3	Recall@4	0.36607142857142855
qwen3:1.7b	5	Recall@4	0.375
qwen3:1.7b	1	Hit@4	0.9285714285714286
qwen3:1.7b	3	Hit@4	0.8928571428571429
qwen3:1.7b	5	Hit@4	0.8571428571428571
qwen3:1.7b	1	MRR	0.26785714285714285
qwen3:1.7b	3	MRR	0.2529761904761905
qwen3:1.7b	5	MRR	0.24107142857142855
phi3:medium	1	Overlap@4	1.3214285714285714
phi3:medium	3	Overlap@4	1.3571428571428572
phi3:medium	5	Overlap@4	1.3214285714285714
phi3:medium	1	Recall@4	0.33035714285714285
phi3:medium	3	Recall@4	0.3392857142857143
phi3:medium	5	Recall@4	0.33035714285714285
phi3:medium	1	Hit@4	0.7857142857142857
phi3:medium	3	Hit@4	0.8214285714285714
phi3:medium	5	Hit@4	0.8214285714285714
phi3:medium	1	MRR	0.30357142857142855
phi3:medium	3	MRR	0.28273809523809523
phi3:medium	5	MRR	0.2261904761904762
qwen2.5:3b	1	Overlap@4	1.25
qwen2.5:3b	3	Overlap@4	1.25
qwen2.5:3b	5	Overlap@4	1.3571428571428572
qwen2.5:3b	1	Recall@4	0.3125
qwen2.5:3b	3	Recall@4	0.3125
qwen2.5:3b	5	Recall@4	0.3392857142857143
qwen2.5:3b	1	Hit@4	0.8571428571428571
qwen2.5:3b	3	Hit@4	0.8571428571428571
qwen2.5:3b	5	Hit@4	0.8928571428571429
qwen2.5:3b	1	MRR	0.306547619047619
qwen2.5:3b	3	MRR	0.3005952380952381
qwen2.5:3b	5	MRR	0.35714285714285715
