model	k	metric	mean	sem
llama3.2:1b	1	Overlap@k	0.1071	0.0595
llama3.2:1b	1	Recall@k	0.1071	0.0595
llama3.2:1b	1	Hit@k	0.1071	0.0595
llama3.2:1b	1	MRR@k	0.1071	0.0595
llama3.2:1b	2	Overlap@k	0.4286	0.1082
llama3.2:1b	2	Recall@k	0.2143	0.0541
llama3.2:1b	2	Hit@k	0.3929	0.0940
llama3.2:1b	2	MRR@k	0.1250	0.0610
llama3.2:1b	3	Overlap@k	0.7857	0.1395
llama3.2:1b	3	Recall@k	0.2619	0.0465
llama3.2:1b	3	Hit@k	0.6429	0.0922
llama3.2:1b	3	MRR@k	0.1726	0.0615
llama3.2:1b	4	Overlap@k	1.1429	0.1760
llama3.2:1b	4	Recall@k	0.2857	0.0440
llama3.2:1b	4	Hit@k	0.7857	0.0790
llama3.2:1b	4	MRR@k	0.1815	0.0612
llama3.2:1b	5	Overlap@k	1.3214	0.2124
llama3.2:1b	5	Recall@k	0.2643	0.0425
llama3.2:1b	5	Hit@k	0.7857	0.0790
llama3.2:1b	5	MRR@k	0.1815	0.0612
llama3.2:1b	6	Overlap@k	1.7143	0.2174
llama3.2:1b	6	Recall@k	0.2857	0.0362
llama3.2:1b	6	Hit@k	0.9286	0.0496
llama3.2:1b	6	MRR@k	0.1935	0.0605
llama3.2:1b	7	Overlap@k	2.2500	0.2552
llama3.2:1b	7	Recall@k	0.3214	0.0365
llama3.2:1b	7	Hit@k	0.9286	0.0496
llama3.2:1b	7	MRR@k	0.1986	0.0601
llama3.2:1b	8	Overlap@k	2.6786	0.3088
llama3.2:1b	8	Recall@k	0.3348	0.0386
llama3.2:1b	8	Hit@k	0.9286	0.0496
llama3.2:1b	8	MRR@k	0.1986	0.0601
llama3.2:3b	1	Overlap@k	0.3571	0.0922
llama3.2:3b	1	Recall@k	0.3571	0.0922
llama3.2:3b	1	Hit@k	0.3571	0.0922
llama3.2:3b	1	MRR@k	0.3571	0.0922
llama3.2:3b	2	Overlap@k	0.6429	0.1381
llama3.2:3b	2	Recall@k	0.3214	0.0691
llama3.2:3b	2	Hit@k	0.5000	0.0962
llama3.2:3b	2	MRR@k	0.3929	0.0904
llama3.2:3b	3	Overlap@k	0.9286	0.1621
llama3.2:3b	3	Recall@k	0.3095	0.0540
llama3.2:3b	3	Hit@k	0.6071	0.0940
llama3.2:3b	3	MRR@k	0.3929	0.0904
llama3.2:3b	4	Overlap@k	1.3571	0.1939
llama3.2:3b	4	Recall@k	0.3393	0.0485
llama3.2:3b	4	Hit@k	0.7143	0.0869
llama3.2:3b	4	MRR@k	0.4196	0.0873
llama3.2:3b	5	Overlap@k	1.7143	0.2112
llama3.2:3b	5	Recall@k	0.3429	0.0422
llama3.2:3b	5	Hit@k	0.7857	0.0790
llama3.2:3b	5	MRR@k	0.4196	0.0873
llama3.2:3b	6	Overlap@k	2.0000	0.2357
llama3.2:3b	6	Recall@k	0.3333	0.0393
llama3.2:3b	6	Hit@k	0.7857	0.0790
llama3.2:3b	6	MRR@k	0.4315	0.0855
llama3.2:3b	7	Overlap@k	2.3214	0.2820
llama3.2:3b	7	Recall@k	0.3316	0.0403
llama3.2:3b	7	Hit@k	0.7857	0.0790
